Week Start Date,Agency,Final Incident Type,# of Incidents Calculated,Call to First Pickup,Call to PD Calltaker Handoff,Call to FDNY Pickup,Call to FDNY Job Creation,Call to EMS Pickup,Call to Agency Job Creation,Call to Agency Dispatch,Call to Agency Arrival,Call to First Arrival (Multi-Agency Incidents),Median Pickup,Median Calltaker Handoff,Median FDNY Pickup,Median FDNY Job Creation,Median Ems Pickup,Median Ems Job Creation,Median Dispatch,Median Travel,Median Cumulative First Arrival  (Multi-Agency Incidents),Average Travel,Average Dispatch,Average EMS Processing,Average EMS Pickup,Average Calltaker Processing,Average Pickup,Average FD Pickup,Average FD Processing
12/08/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,985,2.99,158.53,,,,,884.44,"1,695.48","1,692.96",3,136,,,,,233,444,"1,049",13.52,12.10,,,2.59,0.05,,
12/08/2014,NYPD (Non-CIP),Dispute,"4,728",3.07,168.51,,,,,"1,175.43","2,353.64","2,341.99",3,141,,,,,273.5,640,"1,412",19.64,16.78,,,2.76,0.05,,
12/08/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,393,2.95,116.07,,,,,293.85,"1,676.68",802.72,3,86,,,,,77,805,374,23.05,2.96,,,1.89,0.05,,
12/08/2014,NYPD (Non-CIP),Other Crimes (In Progress),"1,813",3.05,162.92,,,,,453.79,977.23,973.50,3,138,,,,,134,346,720,8.72,4.85,,,2.66,0.05,,
12/08/2014,NYPD (Non-CIP),Past Crime,"3,157",2.92,194.61,,,,,"1,386.53","3,131.09","3,089.23",3,165,,,,,387,"1,018","2,074",29.08,19.87,,,3.19,0.05,,
12/08/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,211,3.03,96.71,,,,,484.39,"1,373.46","1,364.19",3,74,,,,,128,535,930,14.82,6.46,,,1.56,0.05,,
12/08/2014,NYPD (Non-CIP),Possible Crimes,"5,444",3.04,153.02,,,,,986.53,"2,186.29","2,119.06",3,122,,,,,274,644,"1,311.5",20.00,13.89,,,2.50,0.05,,
12/08/2014,NYPD (Non-CIP),Vehicle Accident,"3,241",2.82,165.31,,,,,"1,293.21","3,007.80","2,949.96",3,139,,,,,435,"1,133","2,142",28.58,18.80,,,2.71,0.05,,
12/01/2014,EMS,1. Life Threating Med Emergencies,"8,574",3.02,60.34,,,66.34,125.65,164.57,552.46,480.22,3,69.5,,,11,41.5,85,343,423.5,6.46,1.56,0.87,0.12,0.96,0.05,,
12/01/2014,EMS,2. Non-Life Threatening Med Emergencies,"12,314",3.02,68.78,,,76.00,114.26,238.05,786.70,694.59,3,80.25,,,11,44.5,95.5,474,591.25,9.14,2.60,0.56,0.15,1.10,0.05,,
12/01/2014,FDNY,1. Structural Fires,318,3.10,89.26,,,,,102.40,305.92,299.35,3,62.5,,,,,10.5,196,281,3.39,0.22,,,1.44,0.05,,
12/01/2014,FDNY,2. Non-Structural Fires,91,3.13,72.70,,,,,88.74,339.30,336.48,3,55,,,,,12,233,305,4.18,0.27,,,1.16,0.05,,
12/01/2014,FDNY,3. Medical Emergencies,"2,971",3.03,145.33,,,67.42,142.20,170.98,435.51,404.63,3,110,,,5,50,8,246,378,4.41,0.43,1.27,0.09,2.37,0.05,,
12/01/2014,FDNY,4. Non-Medical Emergencies,"2,549",3.03,133.50,,,,,150.52,432.82,413.91,3,76,,,,,13,254,357,4.70,0.28,,,2.17,0.05,,
12/01/2014,NYPD,1. Critical,946,3.08,122.66,,,,,243.64,439.41,425.15,3,90,,,,,75,146,357,3.26,2.02,,,1.99,0.05,,
12/01/2014,NYPD,2. Serious,"1,795",3.08,118.59,,,,,260.23,563.20,538.75,3,91,,,,,89,203,428,5.05,2.36,,,1.93,0.05,,
12/01/2014,NYPD,3. Non-Critical,"1,019",3.05,160.53,,,,,463.21,"1,014.60","1,008.50",3,135,,,,,132,369,740,9.19,5.04,,,2.62,0.05,,
12/01/2014,NYPD (Non-CIP),Alarms,"2,482",3.06,118.21,,,,,827.65,"1,898.73","1,898.73",3,100,,,,,271.5,674.5,"1,283",17.85,11.82,,,1.92,0.05,,
12/01/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,940,3.09,165.51,,,,,806.42,"1,714.94","1,705.41",3,143,,,,,201,493.5,"1,067.5",15.14,10.68,,,2.71,0.05,,
12/01/2014,NYPD (Non-CIP),Dispute,"5,133",3.05,169.80,,,,,"1,096.05","2,211.11","2,206.64",3,143,,,,,258,629,"1,355",18.58,15.44,,,2.78,0.05,,
12/01/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,430,2.98,117.63,,,,,265.19,"1,530.00",653.28,3,86,,,,,72,762,367,21.08,2.46,,,1.91,0.05,,
12/01/2014,NYPD (Non-CIP),Other Crimes (In Progress),"1,901",3.04,162.82,,,,,459.29,965.73,962.60,3,135,,,,,127,346,714,8.44,4.94,,,2.66,0.05,,
12/01/2014,NYPD (Non-CIP),Past Crime,"3,096",2.92,199.79,,,,,"1,403.09","3,172.86","3,140.36",3,168,,,,,419,"1,007.5","2,130",29.50,20.06,,,3.28,0.05,,
12/01/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,240,3.15,99.39,,,,,467.87,"1,333.66","1,326.08",3,83,,,,,132,490.5,867,14.43,6.14,,,1.60,0.05,,
12/01/2014,NYPD (Non-CIP),Possible Crimes,"5,458",3.06,156.88,,,,,"1,007.83","2,237.14","2,182.85",3,126,,,,,265,658.5,"1,322",20.49,14.18,,,2.56,0.05,,
12/01/2014,NYPD (Non-CIP),Vehicle Accident,"3,346",2.84,168.33,,,,,"1,268.40","3,116.80","3,071.79",3,138,,,,,451,"1,226","2,218",30.81,18.33,,,2.76,0.05,,
11/24/2014,EMS,1. Life Threating Med Emergencies,"7,918",3.05,60.58,,,66.06,128.22,163.67,536.59,469.47,3,66.5,,,10.5,42,83.5,332,412,6.22,1.54,0.92,0.11,0.96,0.05,,
11/24/2014,EMS,2. Non-Life Threatening Med Emergencies,"11,539",3.05,72.95,,,79.79,132.04,213.49,720.45,644.09,3,81.5,,,11,44.5,90.5,438.75,556.5,8.45,2.15,0.76,0.14,1.17,0.05,,
11/24/2014,FDNY,1. Structural Fires,399,3.04,75.64,,,,,88.29,289.10,284.64,3,58,,,,,10,195,272,3.35,0.21,,,1.21,0.05,,
11/24/2014,FDNY,2. Non-Structural Fires,140,3.05,86.14,,,,,101.03,332.43,327.35,3,58.5,,,,,11,214.5,298.5,3.86,0.25,,,1.38,0.05,,
11/24/2014,FDNY,3. Medical Emergencies,"2,767",3.05,142.13,,,66.80,139.09,165.33,429.57,391.87,3,109,,,5,49,7,245,370,4.40,0.39,1.23,0.09,2.32,0.05,,
11/24/2014,FDNY,4. Non-Medical Emergencies,"2,674",3.09,130.92,,,,,148.06,434.14,417.43,3,76,,,,,12,257,361.5,4.77,0.29,,,2.13,0.05,,
11/24/2014,NYPD,1. Critical,"1,021",3.07,111.10,,,,,225.66,438.76,425.25,3,85,,,,,76,149,348,3.55,1.91,,,1.80,0.05,,
11/24/2014,NYPD,2. Serious,"1,815",3.10,125.77,,,,,271.04,571.54,545.08,3,94,,,,,92,203,439,5.01,2.42,,,2.04,0.05,,
11/24/2014,NYPD,3. Non-Critical,940,3.07,162.70,,,,,409.18,914.15,910.03,3,134,,,,,123,320.5,669,8.42,4.11,,,2.66,0.05,,
11/24/2014,NYPD (Non-CIP),Alarms,"2,585",3.09,118.14,,,,,709.16,"1,752.85","1,752.85",3,100,,,,,271,640,"1,203",17.39,9.85,,,1.92,0.05,,
11/24/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,912,3.02,170.47,,,,,714.43,"1,503.67","1,495.87",3,149,,,,,198,425.5,"1,001",13.15,9.07,,,2.79,0.05,,
11/24/2014,NYPD (Non-CIP),Dispute,"5,185",3.06,167.39,,,,,900.59,"1,944.09","1,935.42",3,138,,,,,221,585,"1,245",17.39,12.22,,,2.74,0.05,,
11/24/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,410,3.14,112.82,,,,,236.43,"1,446.76",582.71,3,82,,,,,59,873,350.5,20.17,2.06,,,1.83,0.05,,
11/24/2014,NYPD (Non-CIP),Other Crimes (In Progress),"1,878",3.07,160.22,,,,,413.74,901.97,899.12,3,134,,,,,125,321,677,8.14,4.23,,,2.62,0.05,,
11/24/2014,NYPD (Non-CIP),Past Crime,"2,956",2.93,199.20,,,,,"1,142.44","2,723.02","2,665.28",3,166.5,,,,,337,911,"1,828.5",26.34,15.72,,,3.27,0.05,,
11/24/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,195,3.04,101.41,,,,,457.09,"1,311.20","1,300.09",3,80,,,,,135,546,872,14.24,5.93,,,1.64,0.05,,
11/24/2014,NYPD (Non-CIP),Possible Crimes,"5,351",3.05,155.57,,,,,830.87,"1,939.18","1,867.39",3,122,,,,,220,604,"1,164",18.47,11.26,,,2.54,0.05,,
11/24/2014,NYPD (Non-CIP),Vehicle Accident,"2,921",2.83,164.66,,,,,"1,171.37","2,793.95","2,746.57",3,139,,,,,420,"1,126","2,058",27.04,16.78,,,2.70,0.05,,
11/17/2014,EMS,1. Life Threating Med Emergencies,"8,011",3.03,59.24,,,65.39,126.95,165.85,546.83,481.68,3,71,,,12,43.5,88.5,345,431.25,6.35,1.58,0.88,0.13,0.94,0.05,,
11/17/2014,EMS,2. Non-Life Threatening Med Emergencies,"11,803",3.01,71.98,,,79.50,123.16,237.02,770.12,681.93,3,80,,,11,47,96.5,461,575,8.89,2.51,0.63,0.15,1.15,0.05,,
11/17/2014,FDNY,1. Structural Fires,336,3.07,77.16,,,,,90.79,291.48,288.70,3,61,,,,,10,192,272.5,3.34,0.23,,,1.23,0.05,,
11/17/2014,FDNY,2. Non-Structural Fires,179,2.97,101.56,,,,,118.51,384.03,371.71,3,57,,,,,11,240,334,4.43,0.28,,,1.64,0.05,,
11/17/2014,FDNY,3. Medical Emergencies,"2,731",3.04,148.05,,,66.98,144.91,180.21,451.06,407.46,3,113,,,5,52,8,252,383,4.51,0.54,1.33,0.09,2.42,0.05,,
11/17/2014,FDNY,4. Non-Medical Emergencies,"2,803",3.01,163.73,,,,,181.22,471.51,436.38,3,75,,,,,13,259,367,4.84,0.29,,,2.68,0.05,,
11/17/2014,NYPD,1. Critical,889,3.05,117.04,,,,,230.87,433.94,420.71,3,88,,,,,75,149,351,3.38,1.90,,,1.90,0.05,,
11/17/2014,NYPD,2. Serious,"1,734",3.05,124.21,,,,,272.23,555.29,534.09,3,94,,,,,90,189.5,434,4.72,2.47,,,2.02,0.05,,
11/17/2014,NYPD,3. Non-Critical,999,3.07,161.31,,,,,416.37,953.39,946.42,3,134,,,,,126,329,689,8.95,4.25,,,2.64,0.05,,
11/17/2014,NYPD (Non-CIP),Alarms,"2,825",3.10,120.84,,,,,831.85,"1,977.38","1,977.38",3,100,,,,,285,646,"1,260",19.09,11.85,,,1.96,0.05,,
11/17/2014,NYPD (Non-CIP),Disorderly Person/Group/Noise,867,3.02,168.45,,,,,777.06,"1,531.52","1,527.35",3,145,,,,,192,423,973,12.57,10.14,,,2.76,0.05,,
11/17/2014,NYPD (Non-CIP),Dispute,"4,678",3.08,172.20,,,,,"1,124.03","2,259.53","2,249.30",3,144,,,,,294,600.5,"1,394.5",18.93,15.86,,,2.82,0.05,,
11/17/2014,NYPD (Non-CIP),Hazardous Materials/Suspicious Letters/Packages/Substances/Substances,419,3.02,117.36,,,,,289.57,"1,733.02",677.14,3,88,,,,,79,877,367,24.06,2.87,,,1.91,0.05,,
11/17/2014,NYPD (Non-CIP),Other Crimes (In Progress),"1,734",3.00,165.10,,,,,456.18,985.70,977.90,3,139,,,,,127,320,682.5,8.83,4.85,,,2.70,0.05,,
11/17/2014,NYPD (Non-CIP),Past Crime,"2,951",2.89,199.23,,,,,"1,387.66","3,175.76","3,122.95",3,169,,,,,456,"1,039","2,147",29.80,19.81,,,3.27,0.05,,
11/17/2014,NYPD (Non-CIP),Police Officer/Security Holding Suspect,227,3.00,98.31,,,,,428.44,"1,343.65","1,343.65",3,78,,,,,138,519,891,15.25,5.50,,,1.59,0.05,,
11/17/2014,NYPD (Non-CIP),Possible Crimes,"5,191",3.06,157.18,,,,,963.74,"2,113.64","2,038.26",3,127,,,,,279,628,"1,268",19.16,13.44,,,2.57,0.05,,
11/17/2014,NYPD (Non-CIP),Vehicle Accident,"3,225",2.82,173.21,,,,,"1,249.40","2,927.24","2,876.79",3,142,,,,,473,"1,128","2,209",27.96,17.94,,,2.84,0.05,,
10/20/2014,EMS,1. Life Threating Med Emergencies,914,3.02,76.79,,,100.32,116.44,172.74,545.68,452.21,3,92.5,,,17,9,61,333.5,413.5,6.22,1.60,0.27,0.43,1.23,0.05,,
10/20/2014,EMS,2. Non-Life Threatening Med Emergencies,"1,964",3.03,68.52,,,91.82,106.84,325.09,954.39,679.19,3,101,,,17,9,71,522,581,10.49,4.28,0.25,0.43,1.09,0.05,,
10/13/2014,EMS,1. Life Threating Med Emergencies,"1,112",3.05,78.82,,,106.01,121.15,183.74,566.80,463.32,3,101,,,20,9,66,346.5,426,6.38,1.75,0.26,0.49,1.26,0.05,,
10/13/2014,EMS,2. Non-Life Threatening Med Emergencies,"2,126",3.10,33.49,,,63.73,79.36,375.51,982.82,747.22,3,105,,,20,10,83,502.5,583.5,10.12,5.70,0.27,0.53,0.51,0.05,,
10/06/2014,EMS,1. Life Threating Med Emergencies,"8,594",3.12,61.45,,,68.38,135.07,180.89,564.96,490.52,3,76,,,12,42,88,350,446.5,6.40,1.64,0.83,0.14,0.98,0.05,,
10/06/2014,EMS,2. Non-Life Threatening Med Emergencies,"11,979",3.10,67.32,,,74.61,112.59,284.15,835.95,739.31,3,80,,,12,45,100,466.25,619.75,9.20,3.12,0.35,0.15,1.07,0.05,,
10/06/2014,FDNY,1. Structural Fires,304,3.21,77.26,,,,,91.52,288.47,285.12,3,61,,,,,11,190.5,268.5,3.28,0.24,,,1.23,0.05,,
10/06/2014,FDNY,2. Non-Structural Fires,157,3.01,95.80,,,,,108.85,333.90,309.64,3,61,,,,,11,216,292,3.75,0.22,,,1.55,0.05,,
10/06/2014,FDNY,3. Medical Emergencies,"3,253",3.11,149.56,,,67.71,146.38,175.19,433.13,404.25,3,115,,,5,54,8,239,374,4.30,0.43,1.32,0.09,2.44,0.05,,
10/06/2014,FDNY,4. Non-Medical Emergencies,"2,457",3.15,155.51,,,,,173.22,455.44,427.41,3,77,,,,,13,249,355,4.70,0.30,,,2.54,0.05,,
10/06/2014,NYPD,1. Critical,"1,128",3.15,122.14,,,,,231.59,452.04,442.73,3,85,,,,,79,144,354,3.67,1.82,,,1.98,0.05,,
